=== Kernel Computation Profiling (All Functions) ===

 Count  Overhead File                    Line Function
     1         1 …/compiler/optimize.jl   430 finish(interp::Core.Compiler.Nati…
     2         0 …/compiler/optimize.jl   431 finish(interp::Core.Compiler.Nati…
     1         0 …/compiler/optimize.jl   445 finish(interp::Core.Compiler.Nati…
     1         0 …/compiler/optimize.jl   755 inline_cost(ir::Core.Compiler.IRC…
     6         0 …/compiler/optimize.jl   176 ir_to_codeinf!
     3         0 …/compiler/optimize.jl   183 ir_to_codeinf!
     3         0 …/compiler/optimize.jl   184 ir_to_codeinf!
   412         0 …/compiler/optimize.jl   453 optimize
     4         0 …/compiler/optimize.jl   454 optimize
   412         1 …/compiler/optimize.jl   489 run_passes(ci::Core.CodeInfo, sv:…
     1         1 …/compiler/optimize.jl   498 run_passes(ci::Core.CodeInfo, sv:…
   412         0 …/compiler/optimize.jl   504 run_passes
     9         0 …/compiler/optimize.jl   623 slot2reg(ir::Core.Compiler.IRCode…
     4         0 …/compiler/optimize.jl   624 slot2reg(ir::Core.Compiler.IRCode…
    49         0 …/compiler/optimize.jl   626 slot2reg(ir::Core.Compiler.IRCode…
     1         0 …/compiler/optimize.jl   743 statement_or_branch_cost
     1         1 …/compiler/optimize.jl     ? stmt_effect_flags(𝕃ₒ::Core.Compil…
     1         0 …/compiler/optimize.jl   244 stmt_effect_flags(𝕃ₒ::Core.Compil…
     1         0 …/compiler/optimize.jl   260 stmt_effect_flags(𝕃ₒ::Core.Compil…
     2         0 …/compiler/optimize.jl   261 stmt_effect_flags(𝕃ₒ::Core.Compil…
     2         0 …/compiler/optimize.jl   269 stmt_effect_flags(𝕃ₒ::Core.Compil…
     3         3 …/compiler/optimize.jl   193 widen_all_consts!(src::Core.CodeI…
    24         0 …r/ssair/basicblock.jl    25 BasicBlock
     2         0 …r/ssair/basicblock.jl    32 copy
     1         1 …iler/ssair/domtree.jl     ? DFS!(D::Core.Compiler.DFSTree, bl…
     6         0 …iler/ssair/domtree.jl   113 DFS!(D::Core.Compiler.DFSTree, bl…
     1         0 …iler/ssair/domtree.jl   137 DFS!(D::Core.Compiler.DFSTree, bl…
     1         0 …iler/ssair/domtree.jl   139 DFS!(D::Core.Compiler.DFSTree, bl…
     3         0 …iler/ssair/domtree.jl    88 Core.Compiler.DFSTree(n_blocks::I…
    25         0 …iler/ssair/domtree.jl   207 DomTreeNode
     2         0 …iler/ssair/domtree.jl   225 GenericDomTree
     1         0 …iler/ssair/domtree.jl   332 SNCA!(domtree::Core.Compiler.Gene…
     1         0 …iler/ssair/domtree.jl   340 SNCA!(domtree::Core.Compiler.Gene…
     1         0 …iler/ssair/domtree.jl   343 SNCA!(domtree::Core.Compiler.Gene…
    26         0 …iler/ssair/domtree.jl   253 compute_domtree_nodes!(domtree::C…
    40         0 …iler/ssair/domtree.jl   229 construct_domtree(blocks::Vector{…
     1         0 …iler/ssair/domtree.jl   103 copy!(dst::Core.Compiler.DFSTree,…
     1         0 …iler/ssair/domtree.jl   104 copy!(dst::Core.Compiler.DFSTree,…
     1         0 …iler/ssair/domtree.jl   105 copy!(dst::Core.Compiler.DFSTree,…
     1         0 …iler/ssair/domtree.jl   106 copy!(dst::Core.Compiler.DFSTree,…
     9         0 …iler/ssair/domtree.jl   239 update_domtree!
     3         0 …iler/ssair/domtree.jl   246 update_domtree!
    26         0 …iler/ssair/domtree.jl   247 update_domtree!
     1         1 …ler/ssair/inlining.jl   950 analyze_method!(match::Core.Metho…
    56         0 …ler/ssair/inlining.jl   981 analyze_method!(match::Core.Metho…
     5         0 …ler/ssair/inlining.jl  1322 handle_any_const_result!(cases::V…
    27         0 …ler/ssair/inlining.jl  1326 handle_any_const_result!(cases::V…
    58         0 …ler/ssair/inlining.jl  1329 handle_any_const_result!(cases::V…
    27         0 …ler/ssair/inlining.jl  1483 handle_const_prop_result!(cases::…
    57         0 …ler/ssair/inlining.jl  1467 handle_match!(cases::Vector{Core.…
     1         0 …ler/ssair/inlining.jl  1469 handle_match!(cases::Vector{Core.…
     5         0 …ler/ssair/inlining.jl  1508 handle_semi_concrete_result!(case…
    83         0 …ler/ssair/inlining.jl   908 resolve_todo(mi::Core.MethodInsta…
     1         0 …ler/ssair/inlining.jl    97 Core.Compiler.CFGInliningState(ir…
    57         0 …ler/ssair/inlining.jl   950 analyze_method!
     1         0 …ler/ssair/inlining.jl  1660 assemble_inline_todo!(ir::Core.Co…
    16         0 …ler/ssair/inlining.jl  1663 assemble_inline_todo!(ir::Core.Co…
     1         1 …ler/ssair/inlining.jl  1664 assemble_inline_todo!(ir::Core.Co…
   101         0 …ler/ssair/inlining.jl  1698 assemble_inline_todo!(ir::Core.Co…
     2         1 …ler/ssair/inlining.jl   654 batch_inline!(ir::Core.Compiler.I…
     4         0 …ler/ssair/inlining.jl   662 batch_inline!(ir::Core.Compiler.I…
     2         0 …ler/ssair/inlining.jl   672 batch_inline!(ir::Core.Compiler.I…
     4         0 …ler/ssair/inlining.jl   681 batch_inline!(ir::Core.Compiler.I…
    38         0 …ler/ssair/inlining.jl   710 batch_inline!(ir::Core.Compiler.I…
     1         0 …ler/ssair/inlining.jl   712 batch_inline!(ir::Core.Compiler.I…
     1         0 …ler/ssair/inlining.jl   726 batch_inline!(ir::Core.Compiler.I…
     3         0 …ler/ssair/inlining.jl   730 batch_inline!(ir::Core.Compiler.I…
     3         0 …ler/ssair/inlining.jl   732 batch_inline!(ir::Core.Compiler.I…
